bibno | idno | pgno | call_sign | availability

006391,708p,001016,658.4052 LEW,Available
006392,632p,001017,004 PAT,Checked Out
006393,"x, 470p",003144,003145,001018,001.642 AHO,001.642 AHO,001.642 AHO,Available,Available,Available
006394,400p,001019,004.36 JOS,Available
006391,708p,001016,658.4052 LEW,Available
006392,632p,001017,004 PAT,Checked Out
006393,"x, 470p",003144,003145,001018,001.642 AHO,001.642 AHO,001.642 AHO,Available,Available,Available
006394,400p,001019,004.36 JOS,Available
006395,856p,001020,005.43 SIL,Available
006396,147p,001021,512.74 ACZ,Available
006397,229p,001022,917.2 FRA,Available
006398,96p,001023,954.04092 CHA,Available
006399,96p,001024,954.040924 SUB,Available
006400,96p,001025,530.092 SIN,Available
006401,96p,001026,954.05092 UMA,Available
006402,96p,001027,954.035092 SHE,Available
006403,365p,001028,332.015195 LIN,Available
006404,464p,001029,519.2 KIN,Available
006405,843p,000961,001030,511 ROS,511 ROS,Available,Available
006406,721p,001033,519.2 MEN,Checked Out
006407,117p,001034,510.1 WOZ,Available
006408,342p,001035,517 RUD,Checked Out
006409,908p,001036,519.5 NAV,Available
006410,647p,001037,519.535 HAH,Available
006411, ,001038,519.2076 SPI,Available
006412,538p,001039,004.0151 DAS,Available
006413,571p,001040,001041,001042,519.503 LOV,519.503 LOV,519.503 LOV,Available,Available,Available
006414,1092p,001043,519.5 AND,Available
006415,619p,001044,813.54 BRO,Available
006416,602p,001045,006.3 PEN,Checked Out
006417,707p,001046,510.076 CEN,Available
006418,368p,001047,005.55 LEE,Available
006419,280p,001048,519.5 STE,Available
006420,354p,001049,519.5 BER,Available
006421,451p,001050,519.5 BER,Available
006422,808p,001051,519.50285554 LEV,Available
006423,540p,001052,519.202462 JOH,Available
006424,647p,001053,519.5 HOW,Checked Out
